idade,estado_civil,escolaridade,inadimplencia,saldo,fez_emprestimo,tempo_ult_contato,numero_contatos,aderencia_investimento
45,casado (a),superior,nao,242,nao,587,1,sim
42,casado (a),medio,nao,1289,nao,250,4,sim
23,solteiro (a),superior,nao,363,nao,16,18,nao
58,divorciado (a),superior,nao,1382,nao,700,1,sim
50,casado (a),medio,nao,3357,nao,239,4,sim
24,solteiro (a),medio,nao,174,sim,487,1,sim
53,casado (a),superior,nao,4446,nao,429,1,nao
30,casado (a),medio,nao,946,nao,1065,1,nao
39,casado (a),fundamental,nao,879,nao,102,2,nao
30,divorciado (a),medio,nao,-94,nao,41,2,nao
34,solteiro (a),superior,nao,5086,nao,213,4,sim
39,casado (a),fundamental,nao,7685,nao,493,3,nao
33,casado (a),medio,nao,139,sim,732,2,sim
34,casado (a),superior,nao,1116,nao,53,5,nao
38,solteiro (a),superior,nao,0,nao,71,1,nao
33,divorciado (a),medio,nao,2411,nao,130,1,sim
48,casado (a),fundamental,nao,559,nao,1231,2,nao
39,casado (a),medio,nao,0,nao,793,2,nao
53,casado (a),medio,nao,70,nao,611,2,nao
80,casado (a),medio,nao,8304,nao,712,1,sim
38,divorciado (a),medio,nao,157,nao,299,5,nao
24,solteiro (a),medio,nao,-46,nao,23,1,nao
44,casado (a),medio,nao,10888,nao,163,1,nao
46,divorciado (a),superior,nao,624,nao,336,2,sim
53,casado (a),medio,nao,719,nao,230,1,nao
30,casado (a),superior,nao,102,nao,470,7,sim
41,casado (a),fundamental,nao,7735,nao,220,1,nao
47,solteiro (a),superior,nao,4402,nao,805,1,sim
30,solteiro (a),medio,nao,2145,nao,727,2,sim
47,casado (a),medio,nao,1167,nao,968,1,sim
32,solteiro (a),medio,nao,118,nao,1275,1,sim
27,casado (a),medio,nao,-247,sim,344,2,nao
58,solteiro (a),medio,nao,1640,sim,72,6,nao
51,casado (a),medio,nao,2662,nao,148,2,nao
47,casado (a),medio,nao,2246,nao,330,1,nao
34,casado (a),medio,nao,475,nao,559,1,nao
40,casado (a),superior,nao,1584,nao,661,1,nao
44,divorciado (a),medio,nao,0,nao,264,5,nao
55,divorciado (a),medio,sim,-404,nao,502,3,nao
71,casado (a),superior,nao,14220,nao,397,1,sim
38,casado (a),fundamental,nao,168,sim,212,3,nao
38,casado (a),superior,nao,12877,nao,118,3,nao
54,casado (a),superior,nao,98,nao,420,4,nao
43,casado (a),superior,nao,13342,nao,465,1,nao
31,casado (a),superior,nao,8312,nao,43,13,nao
36,divorciado (a),superior,nao,119,nao,127,8,nao
31,casado (a),superior,nao,156,nao,657,7,sim
33,casado (a),superior,nao,3696,nao,305,1,nao
30,casado (a),medio,nao,-393,sim,435,1,sim
38,casado (a),medio,nao,497,sim,88,5,nao
52,casado (a),medio,nao,335,nao,411,1,sim
57,casado (a),superior,nao,27069,sim,174,3,nao
31,solteiro (a),medio,nao,40,nao,123,2,nao
51,casado (a),medio,nao,117,nao,467,2,sim
34,casado (a),medio,nao,1337,nao,330,2,sim
59,casado (a),medio,nao,259,nao,415,1,sim
34,casado (a),medio,nao,1831,nao,203,2,nao
35,casado (a),superior,nao,1265,nao,326,5,sim
29,solteiro (a),fundamental,nao,950,nao,135,3,nao
38,divorciado (a),superior,nao,1513,nao,330,1,nao
41,solteiro (a),medio,nao,1680,nao,76,2,nao
34,casado (a),medio,nao,61,sim,21,1,nao
37,casado (a),superior,nao,0,nao,129,4,nao
50,casado (a),medio,nao,579,nao,83,4,nao
55,casado (a),fundamental,nao,2275,nao,139,9,nao
45,divorciado (a),fundamental,nao,0,nao,211,2,nao
35,casado (a),superior,nao,8,nao,55,4,nao
49,casado (a),superior,nao,87,nao,165,1,nao
36,casado (a),medio,nao,3064,nao,240,3,nao
22,solteiro (a),superior,nao,691,nao,338,1,sim
41,casado (a),superior,nao,771,nao,106,8,nao
48,casado (a),medio,nao,340,nao,255,2,nao
49,casado (a),fundamental,nao,1032,nao,41,5,nao
55,casado (a),medio,nao,1467,sim,277,2,nao
28,solteiro (a),superior,nao,0,nao,767,5,sim
34,solteiro (a),superior,nao,84,nao,231,1,nao
60,divorciado (a),superior,nao,366,nao,593,1,sim
43,divorciado (a),superior,nao,388,nao,2087,2,sim
57,casado (a),superior,nao,320,nao,76,2,nao
38,casado (a),medio,nao,-673,nao,364,1,nao
35,solteiro (a),superior,nao,470,nao,743,13,sim
54,divorciado (a),superior,nao,2171,sim,1034,1,sim
40,casado (a),superior,nao,-495,sim,303,2,nao
45,solteiro (a),medio,nao,0,nao,768,2,nao
61,casado (a),medio,nao,313,sim,42,1,nao
57,casado (a),fundamental,sim,195,sim,185,4,nao
32,solteiro (a),medio,nao,230,nao,442,1,sim
49,solteiro (a),superior,nao,151,nao,97,3,sim
43,solteiro (a),superior,nao,1696,nao,257,1,sim
20,solteiro (a),medio,nao,502,nao,261,1,sim
49,solteiro (a),fundamental,nao,2146,nao,1516,2,sim
76,casado (a),fundamental,nao,2590,nao,68,12,nao
48,casado (a),medio,nao,480,nao,830,1,sim
49,casado (a),medio,nao,687,nao,772,1,sim
49,casado (a),superior,nao,3726,nao,875,2,sim
33,divorciado (a),medio,nao,106,nao,175,3,nao
32,solteiro (a),superior,nao,1100,sim,67,1,nao
34,casado (a),medio,nao,-228,nao,187,3,nao
37,casado (a),fundamental,nao,403,nao,318,2,nao
34,solteiro (a),superior,nao,415,nao,123,1,nao
31,casado (a),medio,nao,1660,nao,342,1,nao
32,casado (a),superior,nao,2431,nao,646,5,sim
38,casado (a),superior,nao,3436,nao,663,4,sim
47,casado (a),medio,nao,302,nao,89,3,nao
31,solteiro (a),superior,nao,3283,nao,258,1,sim
27,solteiro (a),medio,nao,213,nao,378,1,sim
31,casado (a),medio,nao,0,sim,79,3,nao
35,solteiro (a),medio,nao,1810,nao,65,2,nao
32,casado (a),medio,nao,1905,nao,709,2,sim
31,casado (a),superior,nao,0,nao,298,1,nao
35,solteiro (a),superior,nao,62,sim,67,1,nao
40,casado (a),superior,nao,194,sim,189,2,nao
38,casado (a),superior,nao,2278,sim,244,1,nao
34,solteiro (a),superior,nao,18,sim,359,1,sim
49,casado (a),fundamental,nao,937,nao,66,1,nao
33,casado (a),medio,nao,0,nao,1448,7,sim
40,solteiro (a),superior,nao,226,nao,176,2,nao
34,casado (a),medio,nao,1553,nao,200,2,nao
50,casado (a),medio,nao,0,nao,86,4,nao
34,casado (a),superior,nao,606,nao,97,1,sim
32,casado (a),medio,sim,-53,nao,648,1,sim
40,solteiro (a),medio,nao,10378,nao,523,3,nao
43,casado (a),fundamental,nao,8167,nao,114,2,nao
68,divorciado (a),medio,nao,4189,nao,897,2,sim
60,casado (a),fundamental,nao,65,nao,1028,2,sim
39,solteiro (a),medio,nao,102,nao,272,2,nao
45,casado (a),fundamental,nao,180,sim,62,2,nao
32,solteiro (a),medio,nao,678,nao,1579,1,sim
26,casado (a),medio,nao,-759,nao,191,1,nao
21,solteiro (a),medio,nao,2488,nao,258,6,sim
42,casado (a),superior,nao,0,nao,118,6,nao
33,casado (a),medio,nao,3935,nao,765,1,sim
39,casado (a),superior,nao,1047,nao,554,1,sim
33,casado (a),medio,nao,3470,nao,285,2,nao
75,casado (a),medio,nao,6053,nao,865,2,nao
30,casado (a),superior,nao,0,nao,209,2,nao
54,casado (a),medio,nao,2206,nao,104,1,sim
42,casado (a),superior,nao,372,nao,654,2,sim
32,casado (a),medio,nao,950,sim,219,4,nao
45,solteiro (a),superior,nao,2048,nao,310,1,sim
31,casado (a),superior,nao,4148,nao,316,3,sim
83,divorciado (a),fundamental,nao,1097,nao,181,1,sim
34,casado (a),medio,nao,247,nao,401,2,sim
47,divorciado (a),fundamental,nao,126,nao,2456,2,sim
59,casado (a),medio,nao,204,nao,286,2,nao
48,casado (a),superior,nao,1167,sim,264,1,sim
29,solteiro (a),superior,nao,1445,nao,328,2,sim
33,casado (a),medio,nao,478,nao,475,2,sim
31,casado (a),superior,nao,325,nao,1139,2,sim
58,divorciado (a),medio,nao,462,nao,495,1,sim
38,casado (a),fundamental,nao,-363,nao,340,2,nao
52,casado (a),medio,nao,-888,nao,135,1,nao
36,casado (a),medio,nao,-461,nao,254,2,nao
50,divorciado (a),superior,nao,201,nao,248,1,nao
27,casado (a),medio,nao,7,nao,98,2,nao
37,divorciado (a),medio,nao,0,nao,146,4,sim
45,casado (a),medio,nao,827,nao,319,5,nao
40,casado (a),medio,nao,0,nao,297,1,nao
48,casado (a),medio,nao,302,nao,208,3,nao
36,solteiro (a),superior,nao,678,sim,85,3,nao
49,casado (a),medio,nao,2201,nao,233,3,nao
36,casado (a),medio,nao,63,nao,56,8,nao
39,casado (a),medio,nao,1439,nao,73,6,nao
28,solteiro (a),medio,nao,198,nao,128,2,sim
33,casado (a),superior,nao,641,nao,347,2,nao
30,casado (a),medio,nao,1743,nao,192,4,nao
32,casado (a),medio,nao,4,nao,145,2,nao
49,casado (a),medio,nao,2039,nao,451,1,sim
57,casado (a),medio,nao,1044,nao,585,1,sim
34,casado (a),superior,nao,3050,nao,469,1,sim
29,casado (a),superior,nao,451,nao,451,1,nao
36,casado (a),medio,nao,465,nao,160,1,nao
41,casado (a),medio,nao,77,nao,56,1,nao
38,casado (a),superior,nao,432,nao,10,2,nao
36,casado (a),medio,nao,2394,nao,184,2,nao
30,solteiro (a),superior,nao,305,nao,633,1,sim
78,divorciado (a),fundamental,nao,229,nao,97,1,sim
42,casado (a),medio,nao,-921,nao,115,2,nao
30,solteiro (a),superior,nao,2,nao,102,1,nao
29,solteiro (a),medio,nao,-20,sim,574,1,sim
31,solteiro (a),medio,nao,1086,nao,410,1,nao
59,casado (a),medio,nao,2308,nao,815,1,sim
30,solteiro (a),medio,nao,3107,nao,1516,2,nao
48,casado (a),superior,nao,1147,nao,389,1,sim
49,casado (a),fundamental,nao,889,nao,388,1,sim
27,solteiro (a),fundamental,nao,1209,nao,283,1,nao
37,solteiro (a),superior,sim,0,nao,108,1,nao
75,divorciado (a),superior,nao,3810,nao,262,1,sim
46,divorciado (a),medio,nao,-90,sim,270,1,sim
34,casado (a),medio,nao,1897,sim,441,1,nao
59,casado (a),medio,nao,92,nao,139,2,nao
79,casado (a),fundamental,nao,8556,nao,326,2,sim
28,solteiro (a),superior,nao,442,nao,474,3,sim
35,casado (a),medio,sim,0,sim,105,3,nao
42,casado (a),medio,nao,292,nao,222,3,nao
28,casado (a),medio,nao,225,sim,866,2,nao
55,casado (a),fundamental,nao,298,nao,144,3,nao
43,casado (a),medio,nao,2160,nao,261,1,sim
50,casado (a),medio,nao,7317,nao,172,1,nao
33,casado (a),superior,nao,640,nao,318,1,nao
26,solteiro (a),medio,nao,255,nao,457,1,sim
66,casado (a),fundamental,nao,206,nao,479,1,sim
32,casado (a),medio,nao,1005,nao,215,1,nao
53,divorciado (a),medio,nao,751,nao,343,4,nao
60,casado (a),medio,nao,-396,nao,443,1,nao
61,casado (a),medio,nao,985,nao,998,6,sim
72,casado (a),fundamental,nao,763,nao,384,2,sim
34,casado (a),superior,nao,436,nao,28,1,nao
53,casado (a),medio,nao,1796,nao,295,1,sim
54,casado (a),medio,nao,653,nao,352,1,nao
58,casado (a),fundamental,nao,565,nao,876,1,sim
42,casado (a),medio,nao,508,nao,70,1,nao
52,divorciado (a),fundamental,nao,-191,nao,755,1,sim
36,casado (a),superior,nao,6,nao,246,1,nao
33,solteiro (a),fundamental,nao,92,nao,127,1,nao
67,casado (a),medio,nao,16353,nao,223,2,nao
62,divorciado (a),superior,nao,6,nao,216,1,sim
34,solteiro (a),medio,nao,4943,sim,117,2,nao
70,casado (a),medio,nao,2815,nao,125,2,nao
37,casado (a),superior,nao,238,nao,185,1,sim
35,casado (a),medio,nao,1067,sim,179,6,nao
55,divorciado (a),medio,nao,3450,nao,169,1,sim
33,casado (a),superior,nao,79,nao,249,2,sim
34,casado (a),medio,nao,470,sim,217,1,nao
61,casado (a),medio,nao,5207,nao,336,1,nao
47,casado (a),medio,nao,0,nao,676,1,nao
35,casado (a),medio,nao,152,nao,563,1,sim
40,casado (a),medio,nao,1451,nao,314,1,sim
25,solteiro (a),superior,nao,760,nao,223,3,sim
40,casado (a),medio,nao,260,nao,52,1,nao
28,solteiro (a),superior,nao,-328,nao,318,2,nao
33,casado (a),medio,nao,0,sim,83,12,nao
52,casado (a),medio,nao,431,nao,73,17,nao
49,casado (a),medio,nao,3608,nao,231,1,sim
43,casado (a),fundamental,nao,2567,nao,109,1,nao
37,casado (a),superior,nao,1315,nao,224,1,sim
74,casado (a),medio,nao,921,nao,394,2,sim
30,solteiro (a),medio,nao,4,nao,443,2,nao
59,divorciado (a),medio,nao,879,nao,228,1,nao
